"Latitud","Longitud","Rain","Station","Day","Month","year","cum_rain"
16.23194,-92.135,1.2,"Comitan",21,8,2019,1.2
16.23194,-92.135,0.8,"Comitan",22,8,2019,0.8
16.23194,-92.135,3,"Comitan",23,8,2019,12.6
16.23194,-92.135,3.2,"Comitan",24,8,2019,381.2
16.23194,-92.135,0.2,"Comitan",25,8,2019,0.2
16.23194,-92.135,0,"Comitan",26,8,2019,0
16.23194,-92.135,0,"Comitan",27,8,2019,0
16.23194,-92.135,0,"Comitan",28,8,2019,0
16.23194,-92.135,0,"Comitan",29,8,2019,0
16.23194,-92.135,0,"Comitan",30,8,2019,0
16.23194,-92.135,68.2,"Comitan",31,8,2019,1470.2
16.23194,-92.135,28.4,"Comitan",1,10,2019,572.8
16.23194,-92.135,53,"Comitan",2,10,2019,8668.2
16.23194,-92.135,31.8,"Comitan",3,10,2019,31.8
16.23194,-92.135,61.8,"Comitan",4,10,2019,8843.8
16.23194,-92.135,60.6,"Comitan",5,10,2019,1970.2
16.23194,-92.135,10.6,"Comitan",6,10,2019,2420.2
16.23194,-92.135,29.2,"Comitan",7,10,2019,4286.4
16.23194,-92.135,37,"Comitan",8,10,2019,6811.4
16.23194,-92.135,30.6,"Comitan",9,10,2019,30.6
16.23194,-92.135,0.6,"Comitan",10,10,2019,0.6
16.23194,-92.135,1,"Comitan",11,10,2019,93
16.23194,-92.135,1,"Comitan",12,10,2019,1
16.23194,-92.135,7,"Comitan",13,10,2019,137
16.23194,-92.135,7,"Comitan",14,10,2019,306.2
16.23194,-92.135,1.4,"Comitan",15,10,2019,18.2
16.23194,-92.135,1.2,"Comitan",16,10,2019,1.2
16.23194,-92.135,5.4,"Comitan",17,10,2019,154.6
16.23194,-92.135,5.4,"Comitan",18,10,2019,5.4
16.23194,-92.135,0.2,"Comitan",19,10,2019,0.2
16.23194,-92.135,0,"Comitan",20,10,2019,0
16.23194,-92.135,0,"Comitan",21,10,2019,0
16.23194,-92.135,9.6,"Comitan",22,10,2019,1209.6
16.23194,-92.135,9,"Comitan",23,10,2019,9
16.23194,-92.135,6.6,"Comitan",24,10,2019,1196.6
16.23194,-92.135,42.4,"Comitan",25,10,2019,5001.2
16.23194,-92.135,86.4,"Comitan",26,10,2019,16312.8
16.23194,-92.135,64.4,"Comitan",27,10,2019,64.4
16.23194,-92.135,5.4,"Comitan",28,10,2019,678.2
16.23194,-92.135,5.4,"Comitan",29,10,2019,5.4
16.23194,-92.135,6.4,"Comitan",30,10,2019,501.2
16.23194,-92.135,6.4,"Comitan",31,10,2019,6.4
16.72444,-92.63694,0.2,"scdlc",1,6,2019,0.2
16.72444,-92.63694,0.2,"scdlc",2,6,2019,0.2
16.72444,-92.63694,0,"scdlc",3,6,2019,0
16.72444,-92.63694,0.2,"scdlc",4,6,2019,0.2
